x talents, Sam'al;	x talents, Ṣimirra;
not to harm ... 	another ... 
I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations).	I made foundation inscriptions, had the might of the god Aššur, my lord, (and) the deeds that I had done written on them, and placed (these inscriptions) in them (the foundations). 
If the moon is surrounded by a halo, and the sun stands in it: in all lands they will speak the truth.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
an estate of 1 hectare and 1 decare of land in Potter Town, ... of a house —	an estate of 2 hectares and 5 decares of land ... ayu
They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.	He shall pay in Tebet (X). If he does not, the silver shall increase by a fourth.
O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).	O god Nabû, the scribe of all (the universe), who makes opposing forces agree, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, (and) king of the land of Sumer and Akkad, the one who constructed your cella, (5) duly look at him with your steadfast heart and direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long (10) as heaven and  netherworld. May he continually exercise the shepherdship of all lands. May his foundation be as firm as (this) edifice (lit.: “place”) and (its) platform.
... the logs	... this
... seize?	... seeks
it stands ... 	... lands ... 
Witness Aplaya son of Mušallim-Aššur, ditto.	Witness Mušezib-Aššur, ditto.
Garruṣu has taken it as a loan from Bahianu.	Šep-Adad has taken it as a loan from Mannu-ki-Arbail.
have been placed in him.	... have been placed, saying:
Witness Zizî, deputy cohort commander.	Witness Nuranu, cohort commander.
Witness Inurta-mušezib.	Witness Nergal-šezibanni.
x talents, the house of the tailor(s);	20 talents, the house of the queen;
... my servants	... my seals
... who destroyed the habitations of ... 	The ... who entered the city of ... 
... ; NN, farmer, and his people; NN, ... 	... ; Remanni-Marduk, farmer, and his people.
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	I returned the plundered gods of the lands from Assyria and the land Elam to their (proper) place(s), and I set up proper procedures in all of the cult centers.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	Now then I am sending to the king, my lord, the prefects of his who led him; let the king, my lord, question them.
Bir-yatate, son of NN, ... 	Miniwî, son of NN, ... 
Palace of Sennacherib, (... ) ... 	Naqīʾa, wife of Sennacherib (... ).
If ... comes close to the moon and stands there: ... will be sated ... the king of the land will widen (his) understanding ... 	If the moon and sun are in opposition: the king of the land will widen his understanding.
my inside ... 	Why in ... 
They killed ... 	They submitted ... 
4 mules:	9 mules:
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	In the corridors that are within the papāḫu-chambers, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose folded hands hold poppies, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
... Marduk-šarru-uṣur in reports	... Marduk-šarru-uṣur.
— Mars came close to Scorpius.	— Mars comes close to Jupiter.
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	Zarpanitu, whose hands are stretched out, prays to Sin and Šamaš: "Let Bel live!"
... ayu — ... 	... s to ... 
The 'paths' are two ... 	The gate of ... 
Witness Tillayu, ... 	Witness ... 
100 turtledoves, served hot;	20 turtledoves, served hot;
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	We let the teams from Calah go by; my chariot, my team and my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.
